encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,total_nacional,total_urbana,total_rural
ENEMDU,dic-09,2009,12,Desempleo Oculto,129212,82054,47158
ENEMDU,dic-09,2009,12,Desempleo Cesante,277080,241255,35825
ENEMDU,dic-12,2012,12,Desempleo Abierto,210173,180684,29489
ENEMDU,dic-12,2012,12,Desempleo Oculto,66001,44654,21346
ENEMDU,dic-12,2012,12,Desempleo Cesante,166212,141854,24358
ENEMDU,dic-12,2012,12,Desempleo Nuevo,109962,83485,26478
ENEMDU,dic-09,2009,12,Desempleo Nuevo,146722,105813,40909
ENEMDU,dic-09,2009,12,Poblaciï¿½n Econï¿½micamente Inactiva,3483779,2411387,1072392
ENEMDU,jun-10,2010,6,Poblaciï¿½n Total,14180534,9406062,4774472
ENEMDU,jun-10,2010,6,Poblaciï¿½n menor de 15 aï¿½os,4033148,2505781,1527367
ENEMDU,jun-10,2010,6,Poblaciï¿½n en Edad de Trabajar (PET),10147386,6900281,3247105
ENEMDU,jun-10,2010,6,Poblaciï¿½n Econï¿½micamente Activa,6582460,4414069,2168390
ENEMDU,jun-10,2010,6,Empleo,6174141,4075417,2098724
ENEMDU,dic-12,2012,12,Poblaciï¿½n Econï¿½micamente Inactiva,4162884,2818194,1344691
ENEMDU,jun-13,2013,6,Poblaciï¿½n Total,14787691,9815388,4972303
ENEMDU,jun-13,2013,6,Poblaciï¿½n menor de 15 aï¿½os,3794152,2421936,1372216
ENEMDU,jun-13,2013,6,Poblaciï¿½n en Edad de Trabajar (PET),10993539,7393452,3600087
ENEMDU,jun-13,2013,6,Poblaciï¿½n Econï¿½micamente Activa,6999745,4607495,2392250
ENEMDU,jun-13,2013,6,Empleo,6725795,4382389,2343405
ENEMDU,jun-13,2013,6,Empleo Adecuado/Pleno,2998481,2406652,591829
ENEMDU,jun-10,2010,6,Empleo Adecuado/Pleno,2715542,2211148,504394
ENEMDU,dic-15,2015,12,Desempleo Cesante,254234,217720,36515
ENEMDU,dic-15,2015,12,Desempleo Nuevo,103658,71961,31697
ENEMDU,dic-15,2015,12,Poblaciï¿½n Econï¿½micamente Inactiva,3900748,2807481,1093267
ENEMDU,mar-16,2016,3,Poblaciï¿½n Total,16467779,11215431,5252348
ENEMDU,mar-16,2016,3,Poblaciï¿½n menor de 15 aï¿½os,5000261,3252169,1748091
ENEMDU,mar-16,2016,3,Poblaciï¿½n en Edad de Trabajar (PET),11467518,7963261,3504256
ENEMDU,mar-16,2016,3,Poblaciï¿½n Econï¿½micamente Activa,7861661,5270453,2591208
ENEMDU,mar-16,2016,3,Empleo,7412671,4882929,2529742
ENEMDU,mar-16,2016,3,Empleo Adecuado/Pleno,3142554,2560967,581587
ENEMDU,mar-16,2016,3,Subempleo,1348231,902334,445897
ENEMDU,mar-16,2016,3,Subempleo por insuficiencia de tiempo de trabajo,1109514,753245,356269
ENEMDU,mar-16,2016,3,Subempleo por insuficiencia de ingresos,238717,149089,89629
ENEMDU,mar-16,2016,3,Empleo no remunerado,796919,271830,525089
ENEMDU,dic-12,2012,12,Poblaciï¿½n Total,14682556,9745918,4936638
ENEMDU,dic-12,2012,12,Poblaciï¿½n menor de 15 aï¿½os,3818409,2423369,1395041
ENEMDU,dic-12,2012,12,Poblaciï¿½n en Edad de Trabajar (PET),10864147,7322550,3541598
ENEMDU,dic-12,2012,12,Poblaciï¿½n Econï¿½micamente Activa,6701014,4504356,2196658
ENEMDU,dic-12,2012,12,Empleo,6424840,4279017,2145823
ENEMDU,dic-12,2012,12,Empleo Adecuado/Pleno,3118174,2546940,571234
ENEMDU,dic-12,2012,12,Subempleo,603890,345283,258607
ENEMDU,dic-12,2012,12,Subempleo por insuficiencia de tiempo de trabajo,485512,288186,197326
ENEMDU,dic-12,2012,12,Subempleo por insuficiencia de ingresos,118378,57097,61281
ENEMDU,dic-12,2012,12,Empleo no remunerado,537431,212515,324916
ENEMDU,dic-12,2012,12,Otro Empleo no pleno,2018582,1035693,982889
ENEMDU,dic-12,2012,12,Empleo no clasificado,146763,138587,8176
ENEMDU,dic-12,2012,12,Desempleo,276174,225339,50835
ENEMDU,mar-16,2016,3,Otro Empleo no pleno,2100225,1124168,976056
ENEMDU,mar-16,2016,3,Empleo no clasificado,24742,23630,1113
ENEMDU,mar-16,2016,3,Desempleo,448990,387524,61466
ENEMDU,mar-16,2016,3,Desempleo Abierto,388149,338543,49606
ENEMDU,mar-16,2016,3,Desempleo Oculto,60842,48981,11860
ENEMDU,mar-16,2016,3,Desempleo Cesante,366999,316356,50643
ENEMDU,sep-16,2016,9,Desempleo Nuevo,95680,77819,17861
ENEMDU,sep-16,2016,9,Poblaciï¿½n Econï¿½micamente Inactiva,3582166,2727565,854601
ENEMDU,dic-16,2016,12,Poblaciï¿½n Total,16714929,11366255,5348674
ENEMDU,dic-16,2016,12,Poblaciï¿½n menor de 15 aï¿½os,5018798,3223678,1795120
ENEMDU,dic-16,2016,12,Poblaciï¿½n en Edad de Trabajar (PET),11696131,8142577,3553554
ENEMDU,dic-16,2016,12,Poblaciï¿½n Econï¿½micamente Activa,7874021,5318281,2555740
ENEMDU,dic-16,2016,12,Empleo,7463579,4971669,2491910
ENEMDU,dic-16,2016,12,Empleo Adecuado/Pleno,3243293,2533751,709542
ENEMDU,dic-16,2016,12,Subempleo,1564825,1001485,563340
ENEMDU,dic-16,2016,12,Subempleo por insuficiencia de tiempo de trabajo,1253264,807184,446080
ENEMDU,dic-10,2010,12,Poblaciï¿½n menor de 15 aï¿½os,3988185,2498411,1489773
ENEMDU,dic-10,2010,12,Poblaciï¿½n en Edad de Trabajar (PET),10291500,6976934,3314567
ENEMDU,dic-10,2010,12,Poblaciï¿½n Econï¿½micamente Activa,6436257,4318937,2117320
ENEMDU,dic-10,2010,12,Empleo,6113230,4054350,2058880
ENEMDU,dic-10,2010,12,Empleo Adecuado/Pleno,2875533,2326713,548819
ENEMDU,dic-10,2010,12,Subempleo,889255,559150,330106
ENEMDU,mar-14,2014,3,Empleo no clasificado,17758,17279,479
ENEMDU,mar-14,2014,3,Desempleo,342096,265791,76304
ENEMDU,dic-10,2010,12,Subempleo por insuficiencia de tiempo de trabajo,673317,430631,242685
ENEMDU,dic-10,2010,12,Subempleo por insuficiencia de ingresos,215939,128518,87420
ENEMDU,dic-10,2010,12,Empleo no remunerado,528991,178786,350206
ENEMDU,dic-10,2010,12,Otro Empleo no pleno,1765688,939902,825786
ENEMDU,mar-14,2014,3,Desempleo Abierto,268520,223140,45379
ENEMDU,mar-14,2014,3,Desempleo Oculto,73576,42651,30925
ENEMDU,mar-14,2014,3,Desempleo Cesante,247754,194577,53177
ENEMDU,mar-14,2014,3,Desempleo Nuevo,94342,71214,23127
ENEMDU,mar-14,2014,3,Poblaciï¿½n Econï¿½micamente Inactiva,4190271,2990707,1199564
ENEMDU,jun-14,2014,6,Poblaciï¿½n Total,16027466,10836812,5190654
ENEMDU,jun-14,2014,6,Poblaciï¿½n menor de 15 aï¿½os,4790673,3077556,1713117
ENEMDU,dic-10,2010,12,Empleo no clasificado,53763,49800,3963
ENEMDU,dic-10,2010,12,Desempleo,323027,264587,58440
ENEMDU,dic-10,2010,12,Desempleo Abierto,224553,195799,28754
ENEMDU,dic-10,2010,12,Desempleo Oculto,98474,68788,29686
ENEMDU,dic-10,2010,12,Desempleo Cesante,216213,184231,31982
ENEMDU,dic-10,2010,12,Desempleo Nuevo,106814,80355,26458
ENEMDU,dic-10,2010,12,Poblaciï¿½n Econï¿½micamente Inactiva,3855244,2657997,1197247
ENEMDU,jun-14,2014,6,Poblaciï¿½n en Edad de Trabajar (PET),11236793,7759256,3477537
ENEMDU,jun-14,2014,6,Poblaciï¿½n Econï¿½micamente Activa,6967747,4804595,2163152
ENEMDU,jun-14,2014,6,Empleo,6643458,4529978,2113480
ENEMDU,jun-14,2014,6,Empleo Adecuado/Pleno,3401156,2783995,617162
ENEMDU,sep-16,2016,9,Desempleo Abierto,362204,314417,47787
ENEMDU,sep-16,2016,9,Desempleo Oculto,56969,43955,13014
ENEMDU,sep-16,2016,9,Desempleo Cesante,323493,280552,42940
ENEMDU,jun-11,2011,6,Poblaciï¿½n Total,14378837,9544628,4834209
ENEMDU,jun-11,2011,6,Poblaciï¿½n menor de 15 aï¿½os,3902852,2433764,1469088
ENEMDU,jun-14,2014,6,Subempleo,851939,510987,340952
