periodo_fiscal,fecha_publicacion,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,metricas_iee_global,metricas_comercio,metricas_construccion,metricas_manufactura,metricas_servicios
2015-12,2015-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80420,2015-12,2026-07-09,48.2,46.0,41.0,47.9,50.9
2016-01,2016-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80421,2016-01,2026-07-09,40.5,40.0,39.5,47.8,37.6
2016-02,2016-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80422,2016-02,2026-07-09,47.5,46.5,55.0,48.4,46.1
2016-03,2016-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80423,2016-03,2026-07-09,55.6,60.3,44.0,57.1,54.7
2016-04,2016-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80424,2016-04,2026-07-09,51.3,53.6,48.0,47.7,52.4
2016-05,2016-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80425,2016-05,2026-07-09,50.2,58.7,47.6,53.2,44.7
2016-06,2016-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80426,2016-06,2026-07-09,49.6,46.3,48.4,49.2,51.8
2016-07,2016-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80427,2016-07,2026-07-09,52.4,56.4,49.8,50.4,51.6
2016-08,2016-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80428,2016-08,2026-07-09,51.7,57.7,51.7,53.7,47.7
2016-09,2016-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80429,2016-09,2026-07-09,53.5,54.4,49.6,51.2,54.7
2016-10,2016-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80430,2016-10,2026-07-09,55.6,55.3,47.5,56.1,57.1
2016-11,2016-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80431,2016-11,2026-07-09,51.2,60.4,44.6,51.0,47.7
2016-12,2016-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80432,2016-12,2026-07-09,52.4,54.7,45.8,51.3,53.0
2017-01,2017-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80433,2017-01,2026-07-09,45.6,45.8,41.1,49.6,44.5
2017-02,2017-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80434,2017-02,2026-07-09,46.5,48.1,50.0,52.3,42.5
2017-03,2017-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80435,2017-03,2026-07-09,57.5,63.0,47.8,58.5,55.9
2017-04,2017-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80436,2017-04,2026-07-09,50.4,55.3,41.9,49.5,49.8
2017-05,2017-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80437,2017-05,2026-07-09,58.3,58.9,47.0,55.7,61.3
2014-06,2014-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80402,2014-06,2026-07-09,52.3,51.5,61.1,52.4,51.1
2014-07,2014-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80403,2014-07,2026-07-09,57.4,51.4,64.0,58.1,59.0
2014-08,2014-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80404,2014-08,2026-07-09,58.5,54.5,59.2,55.2,62.0
2014-09,2014-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80405,2014-09,2026-07-09,57.4,53.3,58.3,54.8,60.7
2014-10,2014-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80406,2014-10,2026-07-09,58.1,56.3,63.2,55.6,59.2
2014-11,2014-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80407,2014-11,2026-07-09,53.0,56.2,52.7,44.7,55.1
2014-12,2014-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80408,2014-12,2026-07-09,52.5,50.8,31.9,51.4,57.8
2015-01,2015-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80409,2015-01,2026-07-09,44.5,41.1,46.6,49.2,43.7
2015-02,2015-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80410,2015-02,2026-07-09,51.3,49.1,49.0,50.6,53.2
2015-03,2015-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80411,2015-03,2026-07-09,61.0,62.1,48.0,57.5,64.5
2015-04,2015-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80412,2015-04,2026-07-09,50.9,49.9,50.8,51.4,51.3
2015-05,2015-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80413,2015-05,2026-07-09,51.1,50.9,46.9,50.8,52.0
2015-06,2015-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80414,2015-06,2026-07-09,53.5,50.6,56.5,51.1,55.6
2015-07,2015-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80415,2015-07,2026-07-09,53.1,46.5,61.9,45.7,58.4
2015-08,2015-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80416,2015-08,2026-07-09,51.5,50.0,49.6,47.1,54.6
2015-09,2015-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80417,2015-09,2026-07-09,50.6,50.3,46.4,51.4,51.3
2015-10,2015-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80418,2015-10,2026-07-09,54.3,55.0,44.9,52.2,56.7
2015-11,2015-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80419,2015-11,2026-07-09,45.4,53.4,43.2,43.7,42.4
2013-01,2013-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80385,2013-01,2026-07-09,50.5,44.5,54.7,53.6,51.5
2013-02,2013-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80386,2013-02,2026-07-09,54.4,57.0,56.9,53.7,52.8
2013-03,2013-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80387,2013-03,2026-07-09,62.2,64.4,52.4,58.4,64.7
