encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,metricas_nacional_total,metricas_area_urbana,metricas_area_rural,metricas_sexo_hombre,metricas_sexo_mujer
ENEMDU,dic-07,2007,12,Empleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14963,2007-12_empleo,2026-07-09,6019332,3971040,2048292,3632314,2387018
ENEMDU,dic-07,2007,12,Empleo Adecuado/Pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14964,2007-12_empleoadecuadopleno,2026-07-09,2737158,2236440,500719,1907451,829707
ENEMDU,dic-07,2007,12,Subempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14965,2007-12_subempleo,2026-07-09,1155872,687714,468158,679118,476753
ENEMDU,dic-07,2007,12,Subempleo por insuficiencia de tiempo de trabajo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14966,2007-12_subempleoporinsuficienciadetiempode,2026-07-09,860315,519627,340688,474355,385960
ENEMDU,dic-07,2007,12,Subempleo por insuficiencia de ingresos,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14967,2007-12_subempleoporinsuficienciadeingresos,2026-07-09,295556,168087,127470,204763,90793
ENEMDU,dic-07,2007,12,Empleo no remunerado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14968,2007-12_empleonoremunerado,2026-07-09,557146,215994,341152,176122,381025
ENEMDU,dic-07,2007,12,Otro Empleo no pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14969,2007-12_otroempleonopleno,2026-07-09,1504000,785461,718539,830341,673659
ENEMDU,dic-07,2007,12,Empleo no clasificado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14970,2007-12_empleonoclasificado,2026-07-09,65155,45430,19725,39282,25873
ENEMDU,dic-07,2007,12,Desempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14971,2007-12_desempleo,2026-07-09,316697,256662,60036,144918,171780
ENEMDU,mar-15,2015,3,Poblaciï¿½n Econï¿½micamente Inactiva,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15264,2015-03_poblacineconmicamenteinactiva,2026-07-09,3827552,2885500,942052,1060345,2767207
ENEMDU,jun-15,2015,6,Poblaciï¿½n Total,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15265,2015-06_poblacintotal,2026-07-09,16279252,11067830,5211422,8060120,8219132
ENEMDU,jun-15,2015,6,Poblaciï¿½n menor de 15 aï¿½os,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15266,2015-06_poblacinmenorde15aos,2026-07-09,4997168,3241818,1755350,2590965,2406204
ENEMDU,jun-15,2015,6,Poblaciï¿½n en Edad de Trabajar (PET),Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15267,2015-06_poblacinenedaddetrabajarpet,2026-07-09,11282084,7826012,3456072,5469156,5812928
ENEMDU,jun-15,2015,6,Poblaciï¿½n Econï¿½micamente Activa,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15268,2015-06_poblacineconmicamenteactiva,2026-07-09,7430701,4985705,2444996,4383309,3047392
ENEMDU,jun-08,2008,6,Subempleo por insuficiencia de ingresos,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14985,2008-06_subempleoporinsuficienciadeingresos,2026-07-09,284567,169817,114750,208083,76484
ENEMDU,jun-08,2008,6,Empleo no remunerado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14986,2008-06_empleonoremunerado,2026-07-09,614172,257629,356542,204623,409548
ENEMDU,jun-08,2008,6,Otro Empleo no pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14987,2008-06_otroempleonopleno,2026-07-09,1688693,909254,779439,898349,790344
ENEMDU,jun-15,2015,6,Empleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15269,2015-06_empleo,2026-07-09,7098584,4707715,2390869,4224094,2874490
ENEMDU,jun-15,2015,6,Empleo Adecuado/Pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15270,2015-06_empleoadecuadopleno,2026-07-09,3410490,2709275,701215,2327354,1083136
ENEMDU,jun-15,2015,6,Subempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15271,2015-06_subempleo,2026-07-09,977785,600976,376810,593873,383913
ENEMDU,jun-15,2015,6,Subempleo por insuficiencia de tiempo de trabajo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15272,2015-06_subempleoporinsuficienciadetiempode,2026-07-09,803598,499793,303805,459321,344277
ENEMDU,jun-15,2015,6,Subempleo por insuficiencia de ingresos,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15273,2015-06_subempleoporinsuficienciadeingresos,2026-07-09,174187,101182,73005,134552,39635
ENEMDU,jun-15,2015,6,Empleo no remunerado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15274,2015-06_empleonoremunerado,2026-07-09,623781,223526,400255,171516,452265
