anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes,bach_3_masculino,bach_3_femenino,provincia_normalizada,canton_normalizado,bachilleres_3ro
2023-2024 INICIO,06H00692,UNIDAD EDUCATIVA TOMAS OLEAS,CHIMBORAZO,6,COLTA,603,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCAL,935,53,23,CHIMBORAZO,COLTA,76
2023-2024 INICIO,18H00328,UNIDAD EDUCATIVA TOMAS SEVILLA,TUNGURAHUA,18,AMBATO,1801,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,281,9,4,TUNGURAHUA,AMBATO,13
2023-2024 INICIO,09H06224,UNIDAD EDUCATIVA TORREMOLINOS,GUAYAS,9,DAULE,906,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,919,5,5,GUAYAS,DAULE,10
2023-2024 INICIO,13H03638,UNIDAD EDUCATIVA TOSAGUA,MANABI,13,TOSAGUA,1315,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,831,63,50,MANABI,TOSAGUA,113
2023-2024 INICIO,09H05003,UNIDAD EDUCATIVA TRECE DE OCTUBRE,GUAYAS,9,SIMON BOLIVAR,922,"EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCAL,858,31,31,GUAYAS,SIMON BOLIVAR,62
2023-2024 INICIO,13H03124,UNIDAD EDUCATIVA TREINTA DE SEPTIEMBRE,MANABI,13,ROCAFUERTE,1312,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCAL,724,18,28,MANABI,ROCAFUERTE,46
2023-2024 INICIO,13H01439,UNIDAD EDUCATIVA TRES DE JULIO,MANABI,13,EL CARMEN,1304,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,1870,76,62,MANABI,EL CARMEN,138
2023-2024 INICIO,02H00346,UNIDAD EDUCATIVA TRES DE MARZO,BOLIVAR,2,CHIMBO,203,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCAL,261,28,19,BOLIVAR,CHIMBO,47
2023-2024 INICIO,01H00061,UNIDAD EDUCATIVA TRES DE NOVIEMBRE,AZUAY,1,CUENCA,101,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,1026,16,53,AZUAY,CUENCA,69
2023-2024 INICIO,04H00110,UNIDAD EDUCATIVA TUFIÑO,CARCHI,4,TULCAN,401,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,448,11,16,CARCHI,TULCAN,27
2023-2024 INICIO,04H00020,UNIDAD EDUCATIVA TULCAN,CARCHI,4,TULCAN,401,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,1796,32,125,CARCHI,TULCAN,157
2023-2024 INICIO,08H01514,UNIDAD EDUCATIVA TULULBI,ESMERALDAS,8,SAN LORENZO,805,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA, BACHILLERATO Y OFERTAS INTENSIVAS",FISCAL,587,19,30,ESMERALDAS,SAN LORENZO,49
2023-2024 INICIO,17H02108,UNIDAD EDUCATIVA TUMBACO,PICHINCHA,17,QUITO,1701,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,3122,182,192,PICHINCHA,QUITO,374
2023-2024 INICIO,06H01090,UNIDAD EDUCATIVA TUNTATACTO,CHIMBORAZO,6,GUANO,607,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,207,9,6,CHIMBORAZO,GUANO,15
2023-2024 INICIO,01H00887,UNIDAD EDUCATIVA TURI,AZUAY,1,CUENCA,101,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,480,16,22,AZUAY,CUENCA,38
2023-2024 INICIO,03H00032,UNIDAD EDUCATIVA UNE,CAÑAR,3,AZOGUES,301,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,469,15,36,CANAR,AZOGUES,51
2023-2024 INICIO,12H00743,UNIDAD EDUCATIVA UNIDAD POPULAR,LOS RIOS,12,QUEVEDO,1205,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCAL,1913,39,60,LOS RIOS,QUEVEDO,99
